Date,Clicks,Impressions,CTR,Position
2026-03-23,2,35,5.71%,35.1
2026-03-24,1,28,3.57%,30.7
2026-03-25,0,18,0%,31.1
2026-03-26,1,19,5.26%,29.1
2026-03-27,0,15,0%,22.3
2026-03-28,0,22,0%,18.6
2026-03-29,1,21,4.76%,24
2026-03-30,1,35,2.86%,18.5
2026-03-31,0,21,0%,21.7
2026-04-01,0,46,0%,20
2026-04-02,0,45,0%,18.8
2026-04-03,0,47,0%,28.7
2026-04-04,0,40,0%,38.8
2026-04-05,0,46,0%,45.7
2026-04-06,1,48,2.08%,34.5
2026-04-07,0,38,0%,31.9
2026-04-08,1,107,0.93%,17.9
2026-04-09,1,77,1.3%,27.8
2026-04-10,0,43,0%,24.6
2026-04-11,1,38,2.63%,27.2
2026-04-12,0,48,0%,35
2026-04-13,0,41,0%,36
2026-04-14,1,44,2.27%,26.1
2026-04-15,0,48,0%,25.9
2026-04-16,2,71,2.82%,17.3
2026-04-17,0,48,0%,27.5
2026-04-18,1,131,0.76%,35.9
2026-04-19,1,235,0.43%,48.3
2026-04-20,1,398,0.25%,48.8
2026-04-21,0,356,0%,45.1
2026-04-22,1,508,0.2%,50.3
2026-04-23,0,353,0%,41.4
2026-04-24,2,286,0.7%,49
2026-04-25,0,340,0%,49.6
2026-04-26,2,549,0.36%,51.6
2026-04-27,0,307,0%,48
2026-04-28,1,291,0.34%,47.1
2026-04-29,4,346,1.16%,43.1
2026-04-30,2,388,0.52%,30.5
2026-05-01,0,470,0%,31.8
2026-05-02,0,458,0%,38.9
2026-05-03,1,495,0.2%,33.6
2026-05-04,1,508,0.2%,41
2026-05-05,0,629,0%,31.4
2026-05-06,1,528,0.19%,41.5
2026-05-07,0,748,0%,49.6
2026-05-08,0,780,0%,38.8
2026-05-09,0,514,0%,40.4
2026-05-10,0,697,0%,48
2026-05-11,0,472,0%,43.4
2026-05-12,0,638,0%,40
2026-05-13,2,553,0.36%,47.4
2026-05-14,3,427,0.7%,42.7
2026-05-15,2,423,0.47%,45.9
2026-05-16,2,391,0.51%,41.6
2026-05-17,3,401,0.75%,43
2026-05-18,3,482,0.62%,42.9
2026-05-19,4,455,0.88%,46.7
2026-05-20,0,487,0%,47.2
2026-05-21,1,353,0.28%,43.9
2026-05-22,0,578,0%,47.4
2026-05-23,1,463,0.22%,45.5
2026-05-24,0,820,0%,45.2
2026-05-25,1,1628,0.06%,42.9
2026-05-26,4,733,0.55%,37.8
2026-05-27,4,911,0.44%,35.5
2026-05-28,0,1090,0%,36
2026-05-29,4,1242,0.32%,30.6
2026-05-30,3,1305,0.23%,27.3
2026-05-31,1,1885,0.05%,31
2026-06-01,3,3051,0.1%,36.3
2026-06-02,4,766,0.52%,22.3
2026-06-03,0,1251,0%,26.3
2026-06-04,3,959,0.31%,24.7
2026-06-05,2,788,0.25%,28
2026-06-06,2,1071,0.19%,27.8
2026-06-07,2,1698,0.12%,34
2026-06-08,2,1113,0.18%,27
2026-06-09,3,1227,0.24%,26.8
2026-06-10,2,1249,0.16%,24.9
2026-06-11,2,1408,0.14%,20.3
2026-06-12,1,1690,0.06%,21.8
2026-06-13,8,1512,0.53%,22.3
2026-06-14,9,1596,0.56%,20
2026-06-15,6,2040,0.29%,21.6
2026-06-16,9,2225,0.4%,20.1
2026-06-17,9,2510,0.36%,22.2
2026-06-18,4,1985,0.2%,18.6
2026-06-19,7,1710,0.41%,19
2026-06-20,8,1972,0.41%,19.7
2026-06-21,6,1546,0.39%,20.1
2026-06-22,6,1484,0.4%,18.6